orientation,case_id,frequency_hz,frequency_over_f0,sigma_re_S_m,sigma_im_S_m,phase_deg,n_components,max_component_voltage_span_V,electrode_mismatch
parallel,strong_chain,10.065842420897406,0.31622776601683794,0.2038627421175707,0.008827002108500574,2.479287090013519,3,0.12806774365268594,0.0007551988231899391
parallel,strong_chain,17.899880321778202,0.5623413251903491,0.209118753454048,0.01022203343076205,2.798474826963016,3,0.18117636561805078,0.0010498065180357759
parallel,strong_chain,31.830988618379063,1.0,0.21432859288185951,0.008886102645250473,2.37413378011998,3,0.21927780048344866,0.0012717140084435516
parallel,strong_chain,56.60439166124679,1.7782794100389228,0.21755958465746153,0.0062176111683810206,1.6370041301445117,3,0.23701400577714649,0.0013965574157585108
parallel,strong_chain,100.65842420897407,3.1622776601683795,0.21902365514318606,0.0038402954284508183,1.004504175028255,3,0.24307630859628007,0.0014527143723918334
parallel,strong_chain,178.998803217782,5.623413251903491,0.21956961635125366,0.0022369001256436613,0.5836896050894815,3,0.24491396526637038,0.0014738312794149674
parallel,strong_chain,318.30988618379064,10.0,0.21975428129826444,0.0012745751601995437,0.33231188057639455,3,0.24547603638489884,0.001481053766811519
parallel,bottleneck_chain,3.1830988618379066,0.1,0.19986012641688874,0.00156857246070966,0.4496681667134095,3,0.9806838237028859,8.162056806211295e-05
parallel,bottleneck_chain,5.660439166124679,0.1778279410038923,0.2002869504810913,0.002214669304970991,0.6335212188949899,3,1.0405901740147805,8.841495365914868e-05
parallel,bottleneck_chain,10.065842420897406,0.31622776601683794,0.2011447608980046,0.0032568249927983767,0.9276205936949878,3,1.0573243831098833,0.0001225750056731499
parallel,bottleneck_chain,17.899880321778202,0.5623413251903491,0.20287696696249008,0.0043148205518970025,1.2183923352179715,3,1.052444736387077,0.000193448065710725
parallel,bottleneck_chain,31.830988618379063,1.0,0.20529619557703602,0.0045540374725018245,1.270770460386244,3,1.034812138240175,0.00029450223176627916
parallel,bottleneck_chain,56.60439166124679,1.7782794100389228,0.20742893487944047,0.003733613337466737,1.0311829886411037,3,1.0132372661240623,0.0003856051473211913
parallel,bottleneck_chain,100.65842420897407,3.1622776601683795,0.2086642227074269,0.0025149014610759348,0.6905173362065257,3,0.9975898857231653,0.0004371190413695879
parallel,bottleneck_chain,178.998803217782,5.623413251903491,0.2091860119628403,0.0015187572919175421,0.4159783590952848,3,0.990085051202902,0.00045827353641952683
parallel,bottleneck_chain,318.30988618379064,10.0,0.20937175706982059,0.0008770110596632057,0.23999769178191147,3,0.9872513826437684,0.00046575448235722206
parallel,ideal_pair_plus_isolated,3.1830988618379066,0.1,0.19887895118247034,0.0011784125694463666,0.3394893034592572,2,1.1426213305576267,0.00012762251954080093
parallel,ideal_pair_plus_isolated,5.660439166124679,0.1778279410038923,0.1991697723123892,0.002030805671304113,0.5841878539828339,2,1.1391109907361072,0.00013458483138706646
parallel,ideal_pair_plus_isolated,10.065842420897406,0.31622776601683794,0.1999754888402217,0.0032947512645498086,0.9439069997222952,2,1.1293203582669888,0.000153875488149972
parallel,ideal_pair_plus_isolated,17.899880321778202,0.5623413251903491,0.20177410340111512,0.004627577977805401,1.313816841046855,2,1.107023281131152,0.00019765218022350562
parallel,ideal_pair_plus_isolated,31.830988618379063,1.0,0.20447805802063707,0.005080258968230725,1.4232213038326467,2,1.0716814975024447,0.00026652456221645554
parallel,ideal_pair_plus_isolated,56.60439166124679,1.7782794100389228,0.20695371967643988,0.00423237908351778,1.171583968113607,2,1.0359459515308351,0.00033184126976223255
parallel,ideal_pair_plus_isolated,100.65842420897407,3.1622776601683795,0.20838976461725667,0.0028599305719389824,0.7862750136119809,2,1.0127496302026215,0.0003695379661912293
parallel,ideal_pair_plus_isolated,178.998803217782,5.623413251903491,0.20899278364274082,0.0017276957532815712,0.47364037333597997,2,1.0021749175314594,0.00038517525357696013
parallel,ideal_pair_plus_isolated,318.30988618379064,10.0,0.209206755286167,0.0009975693607623278,0.27320380204798705,2,0.9982560688972127,0.00039075841071842656
parallel,ideal_cluster,3.1830988618379066,0.1,0.19931366248015586,0.00366484301872991,1.0533968191338139,1,0.0,0.0003061879648598144
parallel,ideal_cluster,5.660439166124679,0.1778279410038923,0.20046522433028324,0.006189860184880136,1.7685871408136857,1,0.0,0.0004979209523945927
parallel,ideal_cluster,10.065842420897406,0.31622776601683794,0.203437675761596,0.009511171856201714,2.6767582630186024,1,0.0,0.0007951772726139737
parallel,ideal_cluster,17.899880321778202,0.5623413251903491,0.209092119505625,0.011908119258939247,3.259562103246365,1,0.0,0.00114811560232844
parallel,ideal_cluster,31.830988618379063,1.0,0.21563757524278288,0.011122880755964426,2.9527776888924753,1,0.0,0.001435682436640182
parallel,ideal_cluster,56.60439166124679,1.7782794100389228,0.22009741244765568,0.008040697524266248,2.0922247066863426,1,0.0,0.0015983259697179564
parallel,ideal_cluster,100.65842420897407,3.1622776601683795,0.22214957355506953,0.00500548038017601,1.2907716914749219,1,0.0,0.0016683805670155215
parallel,ideal_cluster,178.998803217782,5.623413251903491,0.22290676948264992,0.002919139144747921,0.7502903246347946,1,0.0,0.0016938318754061879
