network,edge,single_fraction,orthogonal_fraction,direction_factor
7,11,0.0013813850371268714,0.0017047026848108053,0.4815072194281786
7,12,0.09001990942572927,0.05790898072119624,0.9236966137543261
7,13,0.027398014236739997,0.0429090350915181,0.3794084850445933
7,14,0.19459732098445623,0.11700687304911954,0.9882394450940858
7,15,0.19581488936869568,0.1258455476564283,0.9245801329262588
8,0,0.0030151766852956115,0.0034905877534633697,0.4072720806170643
8,1,0.0018836951817740157,0.004358955808400697,0.20375045837605535
8,2,2.6177739553398315e-07,0.010867198379648191,1.1357558463157912e-05
8,3,0.0043714675200921356,0.004432753294893902,0.46496913846139015
8,4,0.007334374560532908,0.007299319259493522,0.47375211251176375
8,5,0.014243576788111565,0.018887227938326163,0.3555668573598957
8,6,0.04640084932732332,0.04097442322763263,0.5339290058426943
8,7,0.2497054566434654,0.17932062869487397,0.656550616712032
8,8,0.004194752519320703,0.026144394280154328,0.07564812928494057
8,9,0.3340355375201573,0.2855452124279281,0.5515542353094695
8,10,0.0009149772564673583,0.006249734178618088,0.06902702988140333
8,11,0.03028046614333802,0.11225971159001097,0.12717714404157907
8,12,0.02608699531518704,0.020038078616776162,0.6138163009193724
8,13,0.038295713236788535,0.04267953430005392,0.4230589859888249
8,14,0.13065142221278872,0.14614414459518862,0.42150541242737716
8,15,0.04477827367560578,0.06019447762654362,0.3507366342023827
8,16,0.06380700363635608,0.031113618027993614,0.9669149355305049
9,0,0.000598016493177605,0.0014252985477681249,0.16536152103310742
9,1,0.006920166361965046,0.003859740616095787,0.706619395955997
9,2,7.882076602529647e-05,0.0028342447313923864,0.01096050191759185
9,3,0.0007500259866624726,0.0016745738137736938,0.17652212805690118
9,4,0.013189965372505724,0.006229470046520221,0.8344872250690275
9,5,0.03043427052542255,0.016918177775397187,0.7089840281349805
9,6,0.07010741206212127,0.030495025145046803,0.9060706844582178
9,7,0.0040730953497168775,0.016673617510144897,0.09627685195715052
9,8,0.13964046697591848,0.056179240303822764,0.9796311123183015
9,9,0.28480631603168116,0.46678994545515873,0.24046687663299282
9,10,0.14723350013708728,0.13448450051043342,0.43148086566254984
9,11,0.014406209309256844,0.007353658223336533,0.7720997613960018
9,12,0.04979080656541508,0.14472263115689707,0.13559380591953835
9,13,0.15401888995728963,0.07377786709744637,0.8227635292519213
9,14,0.08395203810575468,0.036582009066766064,0.90446305146064
10,0,0.0036931190591249843,0.022066362538612133,0.049537970150014744
10,1,0.004727140448361961,0.024426506532115998,0.05728129061485423
10,2,0.0004251093567911214,0.00883097583543484,0.014248449752654584
10,3,0.04978582282449081,0.051238091617717876,0.2875996749524452
10,4,0.018027664619389466,0.0060023326537522554,0.8889862768278912
10,5,0.10353125496150449,0.03067316501286239,0.9990530153057764
10,6,0.0038762997541086593,0.0945972857838623,0.012128701996883212
10,7,0.20684491803407096,0.06718467826846825,0.9112766891372642
10,8,0.06192555195234909,0.040889953753151985,0.44825889311630873
10,9,0.004448521300306309,0.042683766221538806,0.030848112021596596
10,10,0.0033034105726902035,0.06433389916621438,0.015198416014317083
10,11,0.0033185516536463427,0.01385539404069394,0.07089332534771904
10,12,0.10219752607201325,0.030250713641338994,0.999954883850449
10,13,0.005106725394733723,0.06740770417595178,0.02242376930398574
10,14,0.13426835680126678,0.07061740498454862,0.5627785902722074
10,15,0.26975253830470075,0.08067251240729086,0.9897274259849567
10,16,0.02476748889045112,0.2842692533664446,0.025788598193770818
11,0,0.00044457954080731626,0.0002296851820801513,0.8620121319408866
11,1,0.006618641593265761,0.0029726461375170067,0.9915680698819829
11,2,0.013440043139763448,0.018347688406588947,0.3262242113368967
11,3,0.07411409302802141,0.05352996020107993,0.6165960822853587
11,4,0.01494550489094128,0.01452130425721913,0.4583548690166107
11,5,0.004169422692535196,0.005940416094183773,0.3125762257471417
11,6,0.027068510437505983,0.014162887043449146,0.8511565571821016
11,7,0.06337714524901122,0.031051449939693478,0.9089660695766524
11,8,0.0008916617796656401,0.014020798519430494,0.028322023973860768
11,9,0.0014870898723315408,0.03641248117504707,0.01818795311440404
11,10,0.06885495399103962,0.035518363722787126,0.863334557828765
11,11,0.022076671214083472,0.09917976902195696,0.09913051911211392
11,12,0.005489126919687001,0.04270554131551293,0.05724214832808701
11,13,0.012680293010049484,0.010032391569352275,0.5628876209740341
11,14,0.006517200161184287,0.0716830946510613,0.040489386529939934
11,15,0.09288150793663415,0.06394674055757427,0.6468561743272531
11,16,0.36817061700269266,0.2046869016195298,0.8010432339052485
11,17,0.08899584742974291,0.20156729112629848,0.196628545498577
11,18,0.12777709011103766,0.07949058945963774,0.7158699943021082
12,0,3.1587804300650615e-07,5.513373541749673e-06,0.04252380012496028
12,1,3.0166334421628362e-05,0.003447125693422964,0.006495243979397262
12,2,0.02570272479032993,0.02876163746670439,0.6632780196895123
12,3,0.04019992533188321,0.031812575906928105,0.9378998312003848
12,4,0.019125981749860126,0.017199158259796034,0.8253660320852777
12,5,0.0019992731782086377,0.02665784960875019,0.055664341179951816
12,6,0.00030849470785439454,0.09288378453275997,0.0024651188527269924
12,7,0.08122495169604127,0.061652167112389945,0.977847572665017
12,8,0.02996950222598915,0.02401055607123017,0.9264187978267132
12,9,2.1193959720533285e-06,0.01587937793103522,9.906235922644298e-05
12,10,0.15700358328849787,0.12022934947564502,0.9692350576102593
12,11,0.012278471377116462,0.01022903539587639,0.8909219684841467
